Mon Year,Average,Flag
Feb 1988,69.5,F
Mar 1988,,F
Apr 1988,,F
May 1988,,F
Jun 1988,68.145,F
Jul 1988,67.78,F
Aug 1988,67.19,F
Sep 1988,66.74,F
Oct 1988,66.67,F
Nov 1988,67.25,F
Dec 1988,67.91,F
Jan 1989,68.18,F
Feb 1989,68.26,F
Mar 1989,68.58,F
Apr 1989,68.62,F
May 1989,68.17,F
Jun 1989,67.71,F
Jul 1989,67.33,F
Aug 1989,66.92,F
Sep 1989,66.44,F
Oct 1989,66.41,F
Nov 1989,67.03,F
Dec 1989,67.67,F
Jan 1990,68.38,F
Feb 1990,69.01,F
Mar 1990,68.72,F
Apr 1990,68.39,F
May 1990,68.34,F
Jun 1990,68.42,F
Jul 1990,67.87,F
Aug 1990,,F
Sep 1990,,F
Oct 1990,,F
Nov 1990,,F
Dec 1990,,F
Jan 1991,,F
Feb 1991,,F
Mar 1991,,F
Apr 1991,,F
May 1991,,F
Jun 1991,,F
Jul 1991,,F
Aug 1991,,F
Sep 1991,,F
Oct 1991,,F
Nov 1991,,F
Dec 1991,,F
Jan 1992,,F
Feb 1992,69.425,F
Mar 1992,69.29,F
Apr 1992,69.24,F
May 1992,68.96,F
Jun 1992,68.27,F
Jul 1992,67.775,F
Aug 1992,67.33,F
Sep 1992,66.87,F
Oct 1992,67.17,F
Nov 1992,67.67,F
Dec 1992,68.1,F
Jan 1993,68.4,F
Feb 1993,68.275,F
Mar 1993,68.33,F
Apr 1993,68.55,F
May 1993,68.515,F
Jun 1993,68.205,F
Jul 1993,67.66,F
Aug 1993,67.155,F
Sep 1993,66.77,F
Oct 1993,66.52,F
Nov 1993,66.47,F
Dec 1993,66.885,F
Jan 1994,67.39,F
Feb 1994,67.73,F
Mar 1994,68.085,F
Apr 1994,67.8,F
May 1994,67.36,F
Jun 1994,66.915,F
Jul 1994,66.185,F
Aug 1994,,F
Sep 1994,,F
Oct 1994,64.865,F
Nov 1994,65.44,F
Dec 1994,66.79,F
Jan 1995,66.79,F
Feb 1995,67.53,F
Mar 1995,67.32,F
Apr 1995,67.07,F
May 1995,66.89,F
Jun 1995,66.34,F
Jul 1995,65.69,F
Aug 1995,65.39,F
Sep 1995,65.29,F
Oct 1995,65.265,F
Nov 1995,66.19,F
Dec 1995,67.04,F
Jan 1996,67.24,F
Feb 1996,68.19,F
Mar 1996,67.54,F
Apr 1996,67.77,F
May 1996,67.715,F
Jun 1996,67.39,F
Jul 1996,67.03,F
Aug 1996,66.615,F
Sep 1996,66.64,F
Oct 1996,67.01,F
Nov 1996,67.24,F
Dec 1996,68.49,F
Jan 1997,69.14,F
Feb 1997,68.68,F
Mar 1997,68.94,F
Apr 1997,68.84,F
May 1997,68.74,F
Jun 1997,68.79,F
Jul 1997,68.39,F
Aug 1997,67.9,F
Sep 1997,67.99,F
Oct 1997,68.47,F
Nov 1997,68.73,F
Dec 1997,68.96,F
Jan 1998,69.69,F
Feb 1998,69.69,F
Mar 1998,69.79,F
Apr 1998,69.58,F
May 1998,69.24,F
Jun 1998,69.14,F
Jul 1998,68.49,F
Aug 1998,67.625,F
Sep 1998,67.365,F
Oct 1998,67.4,F
Nov 1998,68,F
Dec 1998,69,F
Jan 1999,69.5,F
Feb 1999,70.5,F
Mar 1999,70.51,F
Apr 1999,70.04,F
May 1999,69.74,F
Jun 1999,69.54,F
Jul 1999,,F
Aug 1999,,F
Sep 1999,68.51,F
Oct 1999,68.54,F
Nov 1999,69.41,F
Dec 1999,69.86,F
Jan 2000,,F
Feb 2000,70.38,F
Mar 2000,70.5,F
Apr 2000,70.245,F
May 2000,70.15,F
Jun 2000,69.71,F
Jul 2000,69.065,F
Aug 2000,68.5,F
Sep 2000,,F
Oct 2000,68.64,F
Nov 2000,68.875,F
Dec 2000,69.17,F
Jan 2001,69.385,F
Feb 2001,69.485,F
Mar 2001,69.53,F
Apr 2001,69.49,F
May 2001,69.165,F
Jun 2001,68.47,F
Jul 2001,67.805,F
Aug 2001,67.285,F
Sep 2001,66.81,F
Oct 2001,66.685,F
Nov 2001,67.525,F
Dec 2001,68.645,F
Jan 2002,69.02,F
Feb 2002,69.105,F
Mar 2002,69.06,F
Apr 2002,69.085,F
May 2002,68.71,F
Jun 2002,68.215,F
Jul 2002,67.5707,F
Aug 2002,67.22735,F
Sep 2002,66.9152,F
Oct 2002,66.8411,F
Nov 2002,66.9863,F
Dec 2002,67.515,F
Jan 2003,,F
Feb 2003,,F
Mar 2003,,F
Apr 2003,,F
May 2003,,F
Jun 2003,,F
Jul 2003,,F
Aug 2003,66.495,F
Sep 2003,66.115,F
Oct 2003,66.51,F
Nov 2003,,F
Dec 2003,,F
Jan 2004,,F
Feb 2004,,F
Mar 2004,,F
Apr 2004,,F
May 2004,,F
Jun 2004,66.76,F
Jul 2004,,F
Aug 2004,66.16,F
Sep 2004,66.28,F
Oct 2004,66.54,F
Nov 2004,66.86,F
Dec 2004,67.24,F
Jan 2005,67.26,F
Feb 2005,,F
Mar 2005,,F
Apr 2005,,F
May 2005,67.78,F
Jun 2005,67.5,F
Jul 2005,,F
Aug 2005,66.62,F
Sep 2005,65.93,F
Oct 2005,,F
Nov 2005,,F
Dec 2005,66.98,F
Jan 2006,68.195,F
Feb 2006,68.3,F
Mar 2006,68.33,F
Apr 2006,68.45,F
May 2006,67.66,F
Jun 2006,67.63,F
Jul 2006,67.29,F
Aug 2006,66.94,F
Sep 2006,,F
Oct 2006,66.71,F
Nov 2006,66.94,F
Dec 2006,68.24,F
Jan 2007,68.505,F
Feb 2007,68.61,F
Mar 2007,68.75,F
Apr 2007,68.78,F
May 2007,68.66,F
Jun 2007,67.98,F
Jul 2007,67.93,F
Aug 2007,67.83,F
Sep 2007,67.68,F
Oct 2007,67.94,F
Nov 2007,68.16,F
Dec 2007,68.96,F
Jan 2008,69.23002886,F
Feb 2008,84.739,T
Mar 2008,,F
Apr 2008,,F
May 2008,,F
Jun 2008,67.73635748,F
Jul 2008,67.34403118,F
Aug 2008,67.14113963,F
Sep 2008,67.33333726,F
Oct 2008,68.09950895,F
Nov 2008,68.17027123,F
Dec 2008,68.93223975,F
Jan 2009,68.51818228,F
Feb 2009,68.79026632,F
Mar 2009,68.80446366,F
Apr 2009,68.85126125,F
May 2009,68.18958629,F
Jun 2009,67.73524128,F
Jul 2009,67.52640386,F
Aug 2009,67.54498079,F
Sep 2009,67.58116967,F
Oct 2009,67.95905378,F
Nov 2009,68.01583955,F
Dec 2009,68.615491,F
Jan 2010,68.64882304,F
Feb 2010,68.73013554,F
Mar 2010,68.97926058,F
Apr 2010,68.73193586,F
May 2010,84.739,T
Jun 2010,,F
Jul 2010,,F
Aug 2010,,F
Sep 2010,,F
Oct 2010,,F
Nov 2010,,F
Dec 2010,,F
Jan 2011,84.739,T
Feb 2011,,F
Mar 2011,69.92006835,F
Apr 2011,69.91795237,F
May 2011,69.57616713,F
Jun 2011,69.12426216,F
Jul 2011,68.68782796,F
Aug 2011,68.34771462,F
Sep 2011,68.57008686,F
Oct 2011,69.21314169,F
Nov 2011,69.41854289,F
Dec 2011,69.95003412,F
Jan 2012,70.05885307,F
Feb 2012,70.2948319,F
Mar 2012,70.49427884,F
Apr 2012,70.35192595,F
May 2012,70.15699,F
Jun 2012,69.79863247,F
Jul 2012,69.44956922,F
Aug 2012,68.79952066,F
Sep 2012,68.67431247,F
Oct 2012,69.19238245,F
Nov 2012,70.37111107,F
Dec 2012,70.5471701,F
Jan 2013,70.42454736,F
Feb 2013,84.739,T
Mar 2013,70.52,F
Apr 2013,70.7,F
May 2013,70.64,F
Jun 2013,70.33,F
Jul 2013,69.47,F
Aug 2013,,F
Sep 2013,,F
Oct 2013,69.95,F
Nov 2013,69.9,F
Dec 2013,70.12,F
Jan 2014,70.4,F
Feb 2014,70.86,F
Mar 2014,70.86,F
Apr 2014,70.72,F
May 2014,70.62,F
Jun 2014,70.1,F
Jul 2014,69.56,F
Aug 2014,69.22,F
Sep 2014,69.12,F
Oct 2014,69.95,F
Nov 2014,70.2,F
Dec 2014,70.66,F
jan 2015,70.74,F
feb 2015,70.81,F
mar 2015,71.18,F
april 2015,70.78,F
may 2015,70.68,F
jun 2015,70.15,F
july 2015,69.3,F
aug 2015,68.6,F
sep 2015,68.4,F
oct 2015,68.4,F
nov 2015,70.6,F
dec 2015,70.7,F
jan 2016,70.9,F
feb 2016,71.2,F
mar 2016,71.6,F
apr 2016,71.1,F
may 2016,70.7,F
